id,family,description,canonicalForm,canonicalExample,matchExample,citationType,isCanonical,isNeutral,jurisdiction,pattern
47,The Law Reports (Exchequer Division),The Law Reports (Exchequer Division) (1875-1880) (ICLR),d1 ExD d2,1 ExD 123,1 ExD 123,PubNumAbbrNum,True,False,EW,"{""id"": ""47"", ""description"": ""The Law Reports (Exchequer Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""ExD""},{""LIKE_NUM"": true}]}"
48,The Law Reports (Family Division),Family Division (1972-Present) (Single-Volume) (ICLR),[dddd] Fam d+,[2022] Fam 123,[2022] Fam 123,PubYearAbbrNum,True,False,EW,"{""id"": ""48"", ""description"": ""Family Division (1972-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Fam""},{""LIKE_NUM"": true}]}"
49,The Law Reports (Family Division),Family Division (1972-Present) (Multi-Volume) (ICLR),[dddd] d1 Fam d2,[2022] 1 Fam 123,[2022] 1 Fam 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""49"", ""description"": ""Family Division (1972-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""},{""ORTH"": ""Fam""},{""LIKE_NUM"": true}]}"
50,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Single-Volume) (ICLR),[dddd] KB d+,[2022] KB 123,[2022] KB 123,PubYearAbbrNum,True,False,EW,"{""id"": ""50"", ""description"": ""King's Bench Division (1901-1952) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""KB""},{""LIKE_NUM"": true}]}"
51,The Law Reports (King's Bench Division),King's Bench Division (1901-1952) (Multi-Volume) (ICLR),[dddd] d1 KB d2,[2022] 1 KB 123,[2022] 1 KB 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""51"", ""description"": ""King's Bench Division (1901-1952) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""}, {""ORTH"": ""KB""},{""LIKE_NUM"": true}]}"
52,The Law Reports (Privy Council Appeals),The Law Reports (Privy Council Appeals) (1865-1875) (ICLR),LR d1 PC d2,LR 1 PC 123,LR 1 PC 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""52"", ""description"": ""The Law Reports (Privy Council Appeals) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""PC""},{""LIKE_NUM"": true}]}"
53,The Law Reports (Probate and Divorce Cases),The Law Reports (Probate and Divorce Cases) (1865-1875) (ICLR),LR d1 PD d2,LR 1 PD 123,LR 1 PD 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""53"", ""description"": ""The Law Reports (Probate and Divorce Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""PD""},{""LIKE_NUM"": true}]}"
54,The Law Reports (Probate Divorce and Admiralty Division),The Law Reports (Probate Divorce and Admiralty Division) (1875-1890) (ICLR),d1 PD d2,1 PD 123,1 PD 123,PubNumAbbrNum,True,False,EW,"{""id"": ""54"", ""description"": ""The Law Reports (Probate Divorce and Admiralty Division) (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""PD""}, {""LIKE_NUM"": true}]}"
55,The Law Reports (Probate Divorce and Admiralty Division),The Law Reports (Probate Divorce and Admiralty Division) (1891-1971) (ICLR),[dddd] P d+,[1971] P 123,[1971] P 123,PubYearAbbrNum,True,False,EW,"{""id"": ""55"", ""description"": ""The Law Reports (Probate Divorce and Admiralty Division) (1891-1971) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""P""},{""LIKE_NUM"": true}]}"
56,The Law Reports (Queen's Bench Cases),The Law Reports (Queen's Bench Cases) (1865-1875) (ICLR),LR d1 QB d2,LR 1 QB 123,LR 1 QB 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""56"", ""description"": ""The Law Reports (Queen's Bench Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
57,The Law Reports (Queen's Bench Division),The Law Reports (Queen's Bench Division) (1875-1890) (ICLR),d1 QBD d2,1 QBD 123,1 QBD 123,PubNumAbbrNum,True,False,EW,"{""id"": ""57"", ""description"": ""The Law Reports (Queen's Bench Division) (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""QBD""}, {""LIKE_NUM"": true}]}"
58,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR),[dddd] QB d+,[2022] QB 123,[2022] QB 123,PubYearAbbrNum,True,False,EW,"{""id"": ""58"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
59,The Law Reports (Queen's Bench Division),Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR),[dddd] d1 QB d2,[2022] 1 QB 123,[2022] 1 QB 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""59"", ""description"": ""Queen's Bench Division (1891-1901; 1952-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""}, {""ORTH"": ""QB""},{""LIKE_NUM"": true}]}"
60,The Law Reports (Scotch and Divorce Appeals),The Law Reports (Scotch and Divorce Appeals) (1866-1875) (ICLR),LR d1 ScDiv d2,LR 1 ScDiv 123,LR 1 ScDiv 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""60"", ""description"": ""The Law Reports (Scotch and Divorce Appeals) (1866-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""ScDiv""},{""LIKE_NUM"": true}]}"
61,All ER,The All England Law Reports,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 All ER 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""61"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""}, {""ORTH"": ""All""},{""ORTH"": ""ER""},{""LIKE_NUM"": true}]}"

